pobreza,pobreza_e,pobreza_m,vul_car,vul_ing,npnv,ic_rezedu,ic_asalud,ic_segsoc,ic_cv,ic_sbv,ic_ali,carencias,carencias3,plb,plb_m,rankin_p,rankin_pe,N_pobreza,N_pobreza_e,N_pobreza_m,N_vul_car,N_vul_ing,N_npnv,N_ic_rezedu,N_ic_asalud,N_ic_segsoc,N_ic_cv,N_ic_sbv,N_ic_ali,N_carencias,N_carencias3,N_plb,N_plb_m,perrankin_p,perrankin_pe,cppobreza,cppobreza_e,cppobreza_m,cpvul_car,cpic_rezedu,cpic_asalud,cpic_segsoc,cpic_cv,cpic_sbv,cpic_ali,cpcarencias,cpcarencias3,cpplb,cpplbm,pobtot_05,porc_pob_15_analfa05,porc_pob614_noasiste05,porc_pob15_basicainc05,porc_pob_snservsal05,porc_vivpisotierra05,porc_vivsnsan05,porc_snaguaent05,porc_vivsndren05,porc_vivsnenergia05,porc_vivsnlavadora05,porc_vivsnrefri05,irez_soc05,l_ocupnac05,p_rez_edu_00,p_ser_sal_00,p_viv_pisos_00,p_viv_muros_00,p_viv_techos_00,p_viv_hacin_00,p_viv_agu_entub_00,p_viv_dren_00,p_viv_elect_00,pobreza_alim_00,pobreza_cap_00,pobreza_patrim_00,gdo_rezsoc05
43.28023086,4.265702147,39.01453018,23.62085134,11.33477986,21.76413834,20.22185133,20.8593799,48.85949261,7.871517015,2.692027431,23.69337149,66.90108188,13.5242466,54.61501051,18.16785313,2150,2247,16038,1581,14458,8753,4200,8065,7494,7730,18106,2917,998,8780,24792,5012,20239,6732,760,1358,1.945337415,3.577296019,1.767531157,1.692501426,2.173790932,2.517023087,2.070133686,2.976086855,3.311603308,2.513382435,1.856436968,3.391735792,1.543351889,1.829206705,28832,6.089892864,5.351067066,51.34466171,26.78273964,1.91417098,3.751157999,2.454461098,1.852424026,2.099412918,19.72830963,11.46959019,-1.315585017,2269,25.3,51.4,3.6,0.5,0.6,18,1.2,6.4,1.6,7.2,11.1,25.4,Muy bajo
36.10980122,5.695728906,30.41407168,37.69735992,5.524020642,20.66881806,20.34413745,27.21723786,57.29931543,13.12124543,22.5794925,20.0615712,73.80716023,22.65823037,41.63382185,11.99329215,2280,2105,157285,24809,132476,164200,24061,90028,88614,118551,249581,57153,98350,87383,321485,98693,181346,52240,49,82,2.473721027,4.139310837,2.16246748,1.894731283,2.854776144,2.97254777,2.412008524,3.549819231,3.400664091,3.684299946,2.176252365,3.856747389,2.148911715,2.683678627,413481,5.051102161,6.160282135,42.10710907,35.44805908,3.722851038,8.834527016,8.471476555,17.00271034,9.68737793,28.8692894,18.76996994,-1.118026972,2138,19.5,41.7,6,3.7,3.1,14.4,10.1,28.8,5.6,7.3,10.7,25.4,Muy bajo
30.15390911,2.643312908,27.51059532,36.27263904,6.964735687,26.60871744,15.65703234,29.37117225,51.26332559,8.054568396,6.610469729,16.42135703,66.42654961,14.4322804,37.11864476,9.000120298,2358,2358,282538,24767,257770,339869,65259,249320,146704,275203,480330,75470,61939,153866,622407,135228,347796,84330,14,83,2.056627989,3.503076315,1.918222427,1.80219841,2.30659914,2.421348572,2.126675129,2.676285028,2.899374723,2.687095165,1.917575479,3.363200903,1.67296946,1.992383242,855962,2.883480072,3.626940012,35.29465866,29.89069939,2.529664993,8.583431244,2.866518021,8.875835419,7.899267197,18.55306053,9.666764259,-1.499302983,2376,15.6,36.7,3.8,2,2.4,7.6,4.6,20.6,1,3.6,6.1,18.6,Muy bajo
20.33151185,1.642652266,18.68885905,48.96685481,4.021995142,26.67963803,16.3617015,27.90157761,48.78960256,10.2081943,13.10767248,13.92987995,69.29836799,14.98048741,24.35350681,4.796873488,2439,2428,21157,1709,19448,50955,4185,27763,17026,29034,50770,10623,13640,14495,72112,15589,25342,4992,583,1322,2.125367403,3.541181326,2.002060175,1.778687835,2.254726887,2.432278395,2.113848686,2.499654293,2.633666992,2.854851723,1.880255342,3.384616613,1.77804935,2.094369888,91021,3.60256505,3.713180065,44.89086914,31.76285934,3.132707119,13.70775986,15.30006981,7.844748974,15.13564968,28.82176971,18.09527969,-1.126700997,2148,17.6,41.9,3.8,3.5,2.6,11.6,19,16.2,5,3.3,6,20.7,Muy bajo
32.77951305,3.53723976,29.24227417,40.128389,6.030509993,21.06158733,17.16771393,40.98891292,55.85918,10.39539746,2.396243079,15.94341762,72.90790117,16.52307428,38.81002318,10.15212249,2323,2297,525769,56736,469033,643641,96727,337818,275362,657444,895956,166737,38435,255725,1169410,265023,622495,162835,5,14,2.14297843,3.530542135,1.975720525,1.807245731,2.403843164,2.407928705,2.156223297,2.725772381,3.19438529,2.883589506,1.957961559,3.367136478,1.812362075,2.157191753,1410700,2.515249968,5.101644993,39.47917938,38.55908966,3.810240984,13.11081982,4.488271236,4.43281889,11.94575977,33.59090042,16.70904922,-1.152343988,2172,15.3,45.7,4.9,1.6,1.4,12.5,11.6,17.3,2,5.2,9,26.4,Muy bajo
33.15863747,3.291104822,29.86753285,51.62125826,2.897012234,12.32309192,17.31924142,37.92450808,69.24532096,14.11945002,13.53637758,16.73397,84.77989571,20.81418644,36.05564976,8.493965025,2318,2320,30713,3048,27665,47814,2683,11414,16042,35127,64138,13078,12538,15500,78527,19279,33396,7867,402,999,2.19818902,3.605311394,2.043977261,1.860043645,2.659363747,2.425065517,2.138636351,2.830375433,2.817406416,3.142028093,1.991968393,3.41182518,2.022890806,2.305616617,73305,3.44994998,4.577438831,46.7999382,48.24636841,2.797126055,17.39702988,22.42637062,4.996435165,17.49025917,38.79230118,21.49947929,-0.806716204,1855,19.5,57.8,3.9,5.9,3,16.2,33.9,20.9,4,6.4,10.8,29.9,Muy bajo
48.06279637,6.53944885,41.5233463,29.81594503,5.853285268,16.26797318,22.21342522,17.126756,55.91298763,12.69215833,17.42222491,28.10240813,77.87874063,18.42961124,53.91608178,18.81350538,2058,2037,36633,4984,31648,22725,4461,12399,16931,13054,42616,9674,13279,21419,59358,14047,41094,14339,328,697,2.056823492,3.708609819,1.796345115,1.836100698,2.321812868,2.754083872,2.198175192,3.176713228,2.865906239,2.8114779,1.970627189,3.584277153,1.833966136,2.159087896,63830,6.101788998,3.831291914,47.13275909,37.20037079,11.03571987,5.283699036,6.100269794,19.53166962,6.22035408,35.3407402,13.37736034,-1.13884604,2161,23.5,47.9,14.7,5.3,6.1,10.4,8.9,37.3,3.5,15.8,22.1,42.2,Muy bajo
41.91783241,5.567730539,36.35010123,29.63653207,8.354775608,20.09086013,22.95571049,14.51385878,51.0053023,13.90894568,16.89132196,28.7286511,71.55436333,20.89048152,50.27260813,16.60455334,2170,2127,21659,2877,18782,15313,4317,10381,11861,7499,26354,7187,8728,14844,36971,10794,25975,8579,567,1032,2.131299257,3.798628807,1.875092864,1.981697202,2.680930614,3.051123619,2.22344017,3.255089521,3.014530897,2.971230745,2.068410397,3.600447655,1.778717518,2.076174974,52743,6.069338799,8.947635651,53.05384064,35.45872879,9.463677406,14.79143047,19.25369072,21.80760956,8.562712669,42.65039825,28.21368027,-0.688011825,1745,21.8,39.6,13.4,7.7,7.6,11.3,17.8,29.5,6.1,10.1,13.5,25.3,Bajo
24.67438776,2.787647838,21.88674062,30.77109456,4.647452012,39.90706503,13.11511965,21.45205025,40.44239733,6.866426583,5.277869869,23.71699855,55.44548136,13.33042613,29.32183961,8.298815245,2414,2349,69922,7900,62022,87199,13170,113088,37165,60790,114605,19458,14956,67209,157120,37775,83092,23517,143,447,2.147633791,3.775856495,1.940189242,1.88162446,2.461001635,2.5584445,2.247950554,3.128195047,3.437733889,2.590018988,1.999637485,3.496793509,1.809431553,2.172159195,219596,2.602660894,3.05448699,32.44242859,26.82243919,4.139013767,9.596847534,6.943851948,5.063723087,9.049186707,35.64567947,13.18478966,-1.409965992,2329,13.5,35.8,6.9,4.8,7.9,10.2,10.1,13.5,3.7,7.3,12,31.6,Muy bajo
28.53370579,5.634771577,22.89893478,40.28708637,2.598343417,28.58086526,18.31038171,28.37253279,47.22797915,18.14727015,8.988838187,27.1400033,68.82079117,21.41158594,31.13204911,9.83755482,2373,2115,61535,12152,49383,86882,5604,61637,39488,61187,101850,39136,19385,58529,148417,46176,67138,21215,166,269,2.496613741,3.760961056,2.18517828,1.911971807,2.752576828,2.571173191,2.425067186,3.065622091,3.260998011,2.903802633,2.15323019,3.530718327,2.29015708,2.808807373,164162,3.171869993,3.713187933,39.76195145,31.18748093,9.251719475,11.16784954,20.90723038,3.415913105,10.40645981,46.58293915,19.53396034,-0.909003794,1953,16.8,41.3,12.6,12.6,17,25.9,15.1,16.9,6.4,5.3,9.7,30.4,Muy bajo
